ImageId,Label
1,2
2,0
3,8
4,6
5,4
6,7
7,0
8,3
9,0
10,3
11,6
12,6
13,4
14,0
15,5
16,2
17,3
18,1
19,9
20,-1
21,9
22,1
23,1
24,5
25,7
26,4
27,2
28,7
29,6
30,7
31,7
32,5
33,4
34,3
35,6
36,2
37,6
38,5
39,2
40,6
41,6
42,7
43,4
44,10
45,7
46,7
47,8
48,4
49,6
50,6
51,6
52,8
53,7
54,4
55,8
56,2
57,1
58,3
59,3
60,3
61,5
62,1
63,7
64,0
65,0
66,1
67,2
68,9
69,0
70,2
71,6
72,4
73,7
74,8
75,3
76,8
77,7
78,9
79,2
80,4
81,5
82,5
83,1
84,1
85,8
86,2
87,4
88,4
89,6
90,7
91,3
92,0
93,6
94,6
95,3
96,4
97,3
98,8
99,7
100,5
101,1
102,6
103,3
104,-1
105,6
106,4
107,0
108,5
109,0
110,5
111,2
112,0
113,3
114,5
115,1
116,8
117,1
118,1
119,4
120,4
121,3
122,7
123,3
124,7
125,7
126,3
127,8
128,7
129,6
130,5
131,3
132,5
133,5
134,1
135,0
136,0
137,3
138,1
139,4
140,4
141,5
142,3
143,4
144,5
145,5
146,8
147,8
148,6
149,2
150,6
151,4
152,3
153,5
154,7
155,4
156,4
157,7
158,6
159,6
160,9
161,3
162,1
163,3
164,5
165,1
166,4
167,6
168,6
169,3
170,0
171,2
172,7
173,7
174,6
175,1
176,2
177,7
178,4
179,1
180,2
181,4
182,5
183,7
184,2
185,4
186,9
187,2
188,1
189,6
190,0
191,6
192,1
193,4
194,7
195,6
196,0
197,9
198,7
199,4
200,9
201,1
202,8
203,0
204,7
205,9
206,0
207,7
208,4
209,5
210,2
211,1
212,9
213,2
214,6
215,7
216,1
217,1
218,6
219,3
220,4
221,2
222,3
223,1
224,3
225,2
226,3
227,5
228,6
229,1
230,0
231,0
232,5
233,9
234,1
235,7
236,4
237,2
238,4
239,8
240,6
241,8
242,6
243,2
244,7
245,5
246,5
247,7
248,8
249,4
250,4
251,9
252,7
253,1
254,5
255,8
256,5
257,5
258,2
259,4
260,5
261,6
262,4
263,3
264,5
265,7
266,0
267,6
268,7
269,4
270,1
271,5
272,0
273,6
274,3
275,7
276,6
277,1
278,5
279,8
280,4
281,0
282,9
283,1
284,1
285,6
286,3
287,8
288,4
289,9
290,9
291,5
292,8
293,7
294,9
295,9
296,6
297,3
298,0
299,3
300,3
301,6
302,8
303,8
304,2
305,5
306,3
307,6
308,1
309,4
310,5
311,8
312,5
313,8
314,1
315,-1
316,3
317,7
318,5
319,1
320,8
321,5
322,1
323,1
324,8
325,8
326,4
327,5
328,1
329,6
330,5
331,6
332,3
333,1
334,4
335,0
336,9
337,1
338,1
339,6
340,3
341,6
342,3
343,1
344,8
345,7
346,0
347,7
348,6
349,2
350,3
351,5
352,7
353,7
354,2
355,5
356,9
357,6
358,9
359,3
360,6
361,7
362,6
363,3
364,7
365,5
366,2
367,3
368,6
369,1
370,6
371,5
372,6
373,6
374,9
375,7
376,6
377,8
378,6
379,2
380,7
381,6
382,5
383,6
384,6
385,2
386,6
387,3
388,1
389,4
390,7
391,1
392,7
393,7
394,9
395,6
396,1
397,1
398,1
399,7
400,2
401,9
402,7
403,6
404,1
405,1
406,1
407,7
408,3
409,5
410,6
411,5
412,2
413,4
414,1
415,1
416,4
417,1
418,1
419,3
420,4
421,10
422,6
423,6
424,6
425,4
426,1
427,5
428,7
429,6
430,6
431,4
432,8
433,6
434,2
435,5
436,1
437,3
438,10
439,5
440,1
441,8
442,4
443,7
444,3
445,5
446,4
447,2
448,5
449,3
450,9
451,7
452,7
453,6
454,9
455,4
456,9
457,2
458,2
459,4
460,6
461,3
462,7
463,6
464,2
465,5
466,1
467,7
468,5
469,5
470,1
471,1
472,4
473,8
474,4
475,5
476,0
477,4
478,3
479,1
480,0
481,4
482,8
483,2
484,2
485,8
486,9
487,4
488,7
489,4
490,7
491,6
492,3
493,3
494,3
495,4
496,6
497,6
498,3
499,2
500,0
501,6
502,5
503,8
504,5
505,1
506,8
507,4
508,4
509,1
510,3
511,7
512,6
513,10
514,6
515,6
516,2
517,4
518,7
519,4
520,2
521,5
522,9
523,0
524,6
525,7
526,1
527,0
528,1
529,1
530,7
531,0
532,5
533,3
534,9
535,4
536,4
537,6
538,5
539,5
540,3
541,1
542,1
543,8
544,1
545,0
546,3
547,0
548,9
549,2
550,1
551,1
552,3
553,1
554,5
555,2
556,0
557,7
558,6
559,6
560,2
561,1
562,3
563,8
564,1
565,5
566,6
567,4
568,1
569,3
570,5
571,5
572,4
573,4
574,5
575,0
576,5
577,8
578,2
579,4
580,3
581,5
582,1
583,6
584,6
585,8
586,1
587,6
588,3
589,9
590,3
591,8
592,8
593,5
594,5
595,3
596,6
597,4
598,6
599,0
600,3
601,4
602,1
603,7
604,1
605,6
606,2
607,8
608,5
609,5
610,5
611,7
612,3
613,2
614,3
615,2
616,4
617,7
618,0
619,0
620,10
621,8
622,5
623,9
624,4
625,0
626,9
627,4
628,4
629,6
630,4
631,6
632,1
633,8
634,6
635,1
636,4
637,7
638,7
639,8
640,3
641,0
642,7
643,9
644,6
645,6
646,7
647,6
648,6
649,1
650,8
651,6
652,8
653,2
654,0
655,7
656,2
657,5
658,3
659,3
660,7
661,3
662,3
663,4
664,0
665,5
666,8
667,0
668,2
669,4
670,6
671,3
672,9
673,4
674,4
675,6
676,7
677,7
678,4
679,6
680,0
681,7
682,9
683,8
684,5
685,1
686,4
687,5
688,6
689,8
690,9
691,2
692,6
693,-1
694,1
695,7
696,4
697,3
698,9
699,8
700,8
701,4
702,1
703,5
704,0
705,7
706,2
707,6
708,4
709,6
710,5
711,3
712,8
713,1
714,5
715,6
716,6
717,2
718,3
719,7
720,6
721,8
722,3
723,2
724,0
725,1
726,2
727,6
728,5
729,6
730,5
731,7
732,1
733,3
734,2
735,7
736,7
737,1
738,4
739,1
740,4
741,5
742,4
743,3
744,5
745,3
746,9
747,1
748,7
749,7
750,6
751,4
752,9
753,4
754,3
755,3
756,3
757,6
758,1
759,1
760,5
761,6
762,0
763,3
764,0
765,4
766,0
767,1
768,6
769,1
770,9
771,6
772,6
773,0
774,1
775,5
776,3
777,3
778,6
779,3
780,1
781,2
782,6
783,8
784,8
785,2
786,6
787,5
788,6
789,5
790,6
791,4
792,2
793,4
794,0
795,4
796,3
797,1
798,7
799,9
800,8
801,1
802,1
803,3
804,3
805,2
806,5
807,8
808,6
809,5
810,1
811,5
812,5
813,3
814,4
815,3
816,5
817,0
818,9
819,7
820,5
821,3
822,0
823,5
824,0
825,1
826,9
827,-1
828,4
829,5
830,1
831,7
832,5
833,5
834,8
835,3
836,8
837,6
838,1
839,5
840,5
841,1
842,9
843,-1
844,9
845,5
846,6
847,7
848,2
849,7
850,5
851,8
852,9
853,7
854,7
855,2
856,7
857,1
858,3
859,5
860,5
861,1
862,6
863,1
864,4
865,3
866,3
867,6
868,9
869,2
870,3
871,5
872,5
873,5
874,2
875,4
876,4
877,1
878,1
879,0
880,1
881,4
882,8
883,2
884,2
885,2
886,7
887,1
888,5
889,5
890,9
891,1
892,7
893,6
894,0
895,4
896,3
897,8
898,5
899,1
900,1
901,6
902,3
903,4
904,7
905,7
906,7
907,7
908,3
909,2
910,7
911,3
912,1
913,6
914,6
915,2
916,6
917,4
918,5
919,1
920,5
921,5
922,3
923,5
924,9
925,4
926,7
927,9
928,6
929,6
930,2
931,4
932,2
933,1
934,3
935,5
936,3
937,7
938,7
939,9
940,5
941,6
942,1
943,6
944,1
945,0
946,10
947,3
948,2
949,9
950,3
951,6
952,7
953,5
954,2
955,3
956,2
957,8
958,3
959,3
960,2
961,7
962,9
963,4
964,0
965,6
966,5
967,1
968,8
969,8
970,5
971,2
972,2
973,9
974,6
975,7
976,1
977,8
978,1
979,7
980,3
981,4
982,9
983,7
984,7
985,7
986,7
987,0
988,5
989,4
990,2
991,0
992,8
993,3
994,6
995,8
996,3
997,6
998,2
999,1
1000,9
1001,0
1002,8
1003,0
1004,8
1005,1
1006,3
1007,3
1008,5
1009,3
1010,8
1011,2
1012,6
1013,3
1014,7
1015,3
1016,7
1017,2
1018,3
1019,5
1020,5
1021,5
1022,9
1023,7
1024,7
1025,2
1026,6
1027,1
1028,4
1029,5
1030,1
1031,9
1032,1
1033,6
1034,8
1035,4
1036,7
1037,5
1038,5
1039,2
1040,0
1041,1
1042,6
1043,1
1044,9
1045,2
1046,2
1047,7
1048,7
1049,5
1050,6
1051,2
1052,6
1053,3
1054,5
1055,9
1056,1
1057,1
1058,3
1059,5
1060,4
1061,1
1062,0
1063,5
1064,-1
1065,9
1066,4
1067,8
1068,0
1069,5
1070,9
1071,6
1072,7
1073,8
1074,6
1075,8
1076,2
1077,7
1078,1
1079,2
1080,10
1081,3
1082,0
1083,3
1084,5
1085,7
1086,8
1087,6
1088,5
1089,3
1090,1
1091,3
1092,2
1093,1
1094,1
1095,7
1096,6
1097,5
1098,3
1099,6
1100,4
1101,4
1102,2
1103,9
1104,1
1105,8
1106,3
1107,-1
1108,4
1109,5
1110,6
1111,7
1112,2
1113,3
1114,1
1115,0
1116,5
1117,2
1118,6
1119,3
1120,8
1121,7
1122,4
1123,4
1124,1
1125,5
1126,4
1127,7
1128,5
1129,1
1130,2
1131,0
1132,6
1133,8
1134,0
1135,3
1136,6
1137,8
1138,6
1139,6
1140,7
1141,5
1142,1
1143,2
1144,1
1145,2
1146,8
1147,4
1148,6
1149,5
1150,3
1151,7
1152,7
1153,7
1154,4
1155,4
1156,4
1157,5
1158,1
1159,9
1160,3
1161,9
1162,1
1163,6
1164,0
1165,6
1166,4
1167,1
1168,2
1169,4
1170,4
1171,7
1172,2
1173,8
1174,1
1175,8
1176,3
1177,2
1178,7
1179,3
1180,4
1181,4
1182,8
1183,9
1184,7
1185,0
1186,7
1187,0
1188,3
1189,2
1190,7
1191,7
1192,3
1193,3
1194,8
1195,8
1196,8
1197,4
1198,2
1199,5
1200,3
1201,4
1202,9
1203,3
1204,1
1205,1
1206,7
1207,10
1208,6
1209,4
1210,3
1211,4
1212,5
1213,8
1214,5
1215,5
1216,8
