iter	Passed	Remaining
0	112	111897
1	180	90313
2	252	83930
3	320	79855
4	389	77559
5	456	75693
6	519	73742
7	588	72975
8	661	72816
9	731	72448
10	797	71680
11	863	71111
12	932	70766
13	999	70370
14	1066	70018
15	1130	69521
16	1194	69080
17	1266	69104
18	1337	69070
19	1401	68684
20	1464	68289
21	1528	67936
22	1596	67802
23	1664	67673
24	1730	67505
25	1793	67186
26	1855	66872
27	1919	66622
28	1986	66507
29	2049	66278
30	2115	66122
31	2180	65968
32	2246	65835
33	2309	65618
34	2375	65492
35	2439	65317
36	2503	65155
37	2568	65026
38	2640	65055
39	2711	65065
40	2777	64968
41	2842	64829
42	2907	64701
43	2968	64490
44	3032	64356
45	3097	64248
46	3161	64102
47	3224	63958
48	3289	63837
49	3355	63746
50	3421	63663
51	3482	63489
52	3543	63321
53	3609	63240
54	3672	63096
55	3750	63219
56	3817	63157
57	3893	63238
58	3965	63242
59	4029	63136
60	4098	63096
61	4163	62987
62	4231	62929
63	4299	62887
64	4367	62819
65	4434	62761
66	4499	62662
67	4563	62546
68	4633	62515
69	4698	62425
70	4766	62369
71	4831	62275
72	4897	62192
73	4958	62050
74	5021	61930
75	5088	61862
76	5151	61746
77	5212	61614
78	5275	61498
79	5337	61383
80	5402	61292
81	5462	61158
82	5522	61014
83	5582	60876
84	5652	60851
85	5717	60768
86	5781	60675
87	5850	60629
88	5917	60567
89	5989	60559
90	6058	60518
91	6131	60512
92	6201	60476
93	6271	60444
94	6337	60375
95	6399	60262
96	6465	60193
97	6530	60108
98	6595	60029
99	6669	60028
100	6740	60001
101	6810	59959
102	6880	59916
103	6947	59856
104	7015	59797
105	7081	59727
106	7148	59659
107	7212	59572
108	7278	59497
109	7344	59426
110	7412	59363
111	7475	59269
112	7538	59174
113	7604	59103
114	7665	58994
115	7726	58882
116	7790	58797
117	7854	58708
118	7917	58617
119	7981	58533
120	8046	58451
121	8109	58359
122	8174	58283
123	8237	58195
124	8302	58115
125	8365	58025
126	8432	57965
127	8504	57937
128	8574	57895
129	8644	57854
130	8713	57800
131	8781	57745
132	8854	57723
133	8921	57656
134	8984	57564
135	9047	57479
136	9115	57420
137	9185	57375
138	9254	57325
139	9318	57240
140	9385	57175
141	9447	57085
142	9512	57010
143	9577	56930
144	9641	56850
145	9699	56737
146	9762	56649
147	9823	56552
148	9888	56476
149	9952	56397
150	10017	56322
151	10078	56229
152	10141	56140
153	10203	56053
154	10263	55950
155	10325	55861
156	10389	55788
157	10453	55708
158	10548	55792
159	10628	55801
160	10691	55716
161	10756	55643
162	10820	55563
163	10884	55483
164	10945	55391
165	11010	55317
166	11075	55242
167	11139	55165
168	11201	55080
169	11265	54999
170	11330	54927
171	11391	54838
172	11455	54762
173	11516	54672
174	11576	54572
175	11639	54493
176	11702	54414
177	11766	54339
178	11831	54264
179	11893	54182
180	11956	54100
181	12021	54029
182	12082	53942
183	12146	53868
184	12209	53786
185	12271	53702
186	12333	53622
187	12397	53545
188	12461	53470
189	12525	53396
190	12596	53351
191	12661	53284
192	12727	53218
193	12795	53159
194	12859	53085
195	12924	53014
196	12986	52936
197	13053	52871
198	13114	52789
199	13177	52710
200	13235	52614
201	13298	52536
202	13358	52448
203	13421	52369
204	13483	52291
205	13542	52199
206	13602	52110
207	13661	52017
208	13725	51945
209	13789	51874
210	13849	51786
211	13912	51711
212	13977	51645
213	14041	51574
214	14106	51504
215	14168	51427
216	14235	51365
217	14297	51286
218	14371	51250
219	14447	51221
220	14511	51151
221	14578	51091
222	14649	51044
223	14710	50962
224	14778	50902
225	14841	50828
226	14908	50768
227	14976	50708
228	15057	50695
229	15124	50633
230	15192	50575
231	15260	50518
232	15328	50459
233	15393	50391
234	15458	50323
235	15523	50253
236	15589	50190
237	15666	50159
238	15726	50074
239	15795	50017
240	15859	49948
241	15918	49860
242	15985	49797
243	16051	49734
244	16119	49675
245	16183	49604
246	16249	49538
247	16314	49468
248	16380	49405
249	16446	49339
250	16512	49275
251	16585	49228
252	16644	49142
253	16710	49077
254	16777	49017
255	16845	48957
256	16910	48888
257	16975	48821
258	17040	48753
259	17108	48693
260	17175	48632
261	17241	48564
262	17307	48499
263	17374	48437
264	17438	48367
265	17496	48280
266	17556	48196
267	17624	48139
268	17691	48075
269	17758	48013
270	17820	47937
271	17887	47875
272	17949	47800
273	18013	47730
274	18080	47666
275	18145	47599
276	18211	47534
277	18276	47466
278	18344	47406
279	18408	47335
280	18475	47274
281	18543	47212
282	18607	47143
283	18674	47080
284	18740	47016
285	18806	46949
286	18874	46889
287	18943	46831
288	19008	46764
289	19074	46699
290	19141	46636
291	19208	46574
292	19269	46497
293	19340	46443
294	19410	46388
295	19474	46318
296	19538	46248
297	19604	46181
298	19670	46115
299	19739	46057
300	19804	45991
301	19873	45931
302	19941	45871
303	20009	45811
304	20078	45752
305	20146	45692
306	20212	45627
307	20279	45564
308	20346	45498
309	20413	45436
310	20480	45374
311	20548	45312
312	20625	45269
313	20692	45207
314	20760	45146
315	20825	45078
316	20892	45014
317	20956	44945
318	21017	44868
319	21084	44805
320	21159	44758
321	21226	44694
322	21290	44624
323	21352	44551
324	21418	44483
325	21484	44417
326	21547	44347
327	21613	44280
328	21677	44211
329	21743	44146
330	21812	44085
331	21878	44020
332	21943	43952
333	22011	43891
334	22080	43832
335	22142	43757
336	22207	43690
337	22268	43615
338	22344	43569
339	22414	43509
340	22479	43443
341	22548	43383
342	22620	43329
343	22690	43269
344	22757	43205
345	22822	43138
346	22886	43069
347	22953	43005
348	23021	42942
349	23088	42878
350	23156	42815
351	23223	42751
352	23284	42677
353	23352	42614
354	23411	42536
355	23474	42465
356	23538	42395
357	23603	42327
358	23667	42258
359	23734	42194
360	23801	42130
361	23868	42066
362	23931	41995
363	23998	41930
364	24061	41860
365	24129	41798
366	24196	41733
367	24265	41672
368	24324	41596
369	24389	41528
370	24455	41461
371	24523	41400
372	24591	41338
373	24650	41260
374	24718	41197
375	24782	41128
376	24848	41063
377	24908	40986
378	24972	40918
379	25039	40854
380	25108	40793
381	25178	40734
382	25247	40673
383	25314	40608
384	25379	40542
385	25439	40466
386	25496	40386
387	25560	40316
388	25627	40252
389	25691	40184
390	25760	40123
391	25824	40054
392	25888	39985
393	25955	39921
394	26021	39855
395	26095	39802
396	26154	39725
397	26219	39658
398	26283	39589
399	26349	39524
400	26416	39460
401	26485	39398
402	26550	39330
403	26616	39266
404	26686	39205
405	26750	39137
406	26818	39075
407	26886	39011
408	26945	38936
409	27014	38875
410	27079	38806
411	27152	38751
412	27221	38689
413	27286	38622
414	27351	38555
415	27418	38491
416	27478	38417
417	27537	38342
418	27605	38278
419	27669	38210
420	27731	38138
421	27800	38077
422	27867	38012
423	27933	37947
424	27999	37881
425	28058	37806
426	28122	37737
427	28186	37670
428	28251	37602
429	28319	37539
430	28384	37473
431	28451	37408
432	28518	37344
433	28591	37287
434	28664	37231
435	28730	37165
436	28799	37103
437	28864	37036
438	28931	36971
439	28996	36904
440	29063	36839
441	29129	36774
442	29191	36703
443	29257	36637
444	29316	36563
445	29384	36500
446	29450	36434
447	29515	36366
448	29578	36297
449	29639	36226
450	29707	36162
451	29773	36097
452	29840	36032
453	29905	35965
454	29971	35900
455	30039	35836
456	30106	35771
457	30165	35697
458	30230	35631
459	30298	35567
460	30368	35506
461	30434	35441
462	30502	35377
463	30579	35324
464	30646	35259
465	30715	35197
466	30781	35131
467	30846	35065
468	30914	35000
469	30980	34935
470	31050	34874
471	31117	34808
472	31183	34743
473	31249	34678
474	31309	34604
475	31378	34542
476	31438	34470
477	31502	34402
478	31571	34339
479	31628	34263
480	31691	34195
481	31750	34122
482	31822	34062
483	31889	33997
484	31954	33931
485	32019	33864
486	32081	33794
487	32144	33725
488	32210	33659
489	32278	33595
490	32344	33530
491	32413	33467
492	32475	33397
493	32541	33332
494	32616	33275
495	32684	33211
496	32750	33146
497	32818	33081
498	32884	33015
499	32951	32951
500	33012	32880
501	33080	32817
502	33147	32752
503	33213	32686
