iter	Passed	Remaining
0	2	2187
1	3	1942
2	5	1844
3	7	1788
4	8	1753
5	10	1731
6	12	1709
7	13	1699
8	15	1686
9	16	1675
10	18	1666
11	20	1658
12	21	1656
13	23	1651
14	25	1650
15	26	1648
16	28	1644
17	30	1639
18	31	1634
19	33	1632
20	34	1628
21	36	1626
22	38	1627
23	39	1623
24	41	1621
25	43	1623
26	45	1622
27	46	1619
28	48	1617
29	49	1614
30	51	1610
31	53	1612
32	55	1612
33	56	1610
34	58	1608
35	59	1605
36	61	1602
37	63	1601
38	65	1603
39	66	1600
40	68	1600
41	70	1598
42	71	1595
43	73	1593
44	74	1590
45	76	1588
46	78	1587
47	79	1584
48	81	1582
49	83	1580
50	84	1578
51	86	1579
52	88	1577
53	89	1575
54	91	1573
55	93	1570
56	94	1568
57	96	1566
58	98	1563
59	99	1566
60	101	1565
61	103	1563
62	105	1561
63	106	1559
64	108	1559
65	110	1556
66	111	1555
67	113	1552
68	114	1551
69	116	1549
70	118	1547
71	119	1545
72	121	1543
73	123	1541
74	124	1539
75	126	1536
76	128	1536
77	129	1535
78	131	1533
79	133	1531
80	134	1530
81	136	1528
82	138	1527
83	139	1525
84	141	1523
85	143	1521
86	144	1519
87	146	1517
88	148	1515
89	149	1514
90	151	1513
91	153	1511
92	154	1509
93	156	1507
94	158	1506
95	164	1544
96	166	1552
97	169	1556
98	171	1562
99	174	1567
100	176	1572
101	179	1577
102	181	1580
103	183	1579
104	184	1576
105	188	1590
106	190	1589
107	192	1586
108	193	1584
109	195	1581
110	197	1582
111	199	1580
112	201	1578
113	202	1575
114	204	1572
115	206	1570
116	207	1569
117	209	1566
118	211	1564
119	213	1564
120	215	1562
121	216	1560
122	218	1557
123	220	1557
124	222	1556
125	224	1557
126	226	1555
127	227	1552
128	230	1553
129	231	1551
130	233	1548
131	235	1546
132	236	1543
133	238	1541
134	240	1538
135	241	1535
136	243	1536
137	245	1533
138	247	1531
139	249	1531
140	251	1529
141	252	1526
142	254	1525
143	256	1524
144	258	1522
145	259	1519
146	261	1517
147	263	1515
148	265	1513
149	266	1511
150	268	1510
151	270	1508
152	272	1505
153	273	1503
154	275	1501
155	277	1501
156	279	1498
157	280	1496
158	283	1497
159	284	1495
160	286	1492
161	288	1490
162	289	1488
163	291	1487
164	293	1485
165	295	1483
166	297	1481
167	298	1479
168	300	1476
169	301	1474
170	303	1473
171	305	1471
172	307	1469
173	309	1466
174	310	1464
175	312	1463
176	314	1461
177	316	1459
178	317	1457
179	319	1456
180	321	1455
181	323	1453
182	325	1451
183	326	1448
184	328	1447
185	330	1445
186	331	1443
187	333	1440
188	335	1438
189	336	1436
190	338	1433
191	340	1431
192	341	1429
193	343	1426
194	345	1424
195	346	1422
196	348	1420
197	350	1418
198	352	1417
199	353	1414
200	355	1412
201	357	1410
202	358	1408
203	360	1406
204	362	1405
205	364	1404
206	366	1402
207	367	1400
208	369	1399
209	371	1398
210	373	1396
211	375	1394
212	376	1391
213	378	1389
214	380	1387
215	382	1386
216	383	1385
217	385	1382
218	387	1380
219	388	1378
220	390	1376
221	392	1374
222	393	1372
223	395	1370
224	397	1367
225	398	1365
226	400	1363
227	402	1361
228	404	1361
229	405	1359
230	407	1356
231	409	1354
232	411	1352
233	412	1350
234	414	1349
235	416	1347
236	418	1346
237	419	1343
238	421	1341
239	423	1341
240	425	1339
241	427	1337
242	428	1335
243	430	1333
244	432	1331
245	436	1337
246	439	1338
247	440	1336
248	442	1334
249	444	1332
250	445	1330
251	447	1328
252	449	1325
253	453	1332
254	455	1330
255	457	1328
256	458	1326
257	461	1326
258	462	1324
259	464	1322
260	466	1320
261	468	1318
262	469	1316
263	471	1313
264	472	1311
265	474	1309
266	476	1307
267	477	1305
268	496	1350
269	500	1353
270	505	1359
271	509	1362
272	514	1369
273	517	1372
274	530	1399
275	535	1404
276	540	1410
277	546	1418
278	549	1421
279	554	1425
280	559	1432
281	563	1435
282	566	1434
283	568	1433
284	571	1432
285	573	1431
286	575	1428
287	577	1427
288	579	1424
289	580	1422
290	582	1419
291	584	1416
292	585	1413
293	587	1411
294	589	1408
295	591	1406
296	592	1403
297	594	1400
298	596	1397
299	597	1394
300	599	1392
301	601	1389
302	602	1386
303	604	1383
304	605	1380
305	607	1378
306	609	1375
307	611	1373
308	612	1370
309	614	1367
310	616	1365
311	617	1362
312	619	1360
313	621	1358
314	623	1356
315	625	1353
316	627	1350
317	628	1348
318	630	1346
319	632	1343
320	633	1340
321	635	1338
322	637	1336
323	639	1334
324	641	1332
325	643	1330
326	645	1328
327	647	1325
328	648	1323
329	650	1321
330	652	1318
331	654	1316
332	656	1314
333	658	1312
334	659	1310
335	661	1307
336	663	1305
337	665	1303
338	667	1300
339	668	1298
340	670	1296
341	672	1294
342	674	1291
343	676	1289
344	678	1288
345	680	1286
346	682	1284
347	684	1282
348	686	1280
349	687	1277
350	690	1275
351	691	1273
352	693	1271
353	695	1269
354	697	1266
355	699	1264
356	700	1262
357	702	1259
358	704	1257
359	705	1255
360	707	1253
361	709	1250
362	711	1248
363	713	1246
364	715	1243
365	716	1241
366	718	1239
367	720	1236
368	721	1234
369	723	1231
370	724	1229
371	726	1226
372	728	1224
373	730	1221
374	731	1219
375	733	1216
376	734	1214
377	736	1211
378	738	1209
379	739	1207
380	741	1204
381	743	1202
382	744	1199
383	746	1197
384	748	1194
385	749	1192
386	751	1190
387	752	1187
388	754	1185
389	756	1182
390	757	1180
391	759	1177
392	761	1175
393	762	1173
394	764	1170
395	766	1168
396	767	1166
397	769	1163
398	771	1161
399	772	1158
400	774	1156
401	775	1154
402	777	1151
403	779	1149
404	780	1147
405	782	1144
406	784	1142
407	785	1140
408	787	1138
409	789	1135
410	790	1133
411	792	1131
412	794	1128
413	795	1126
414	797	1124
415	799	1121
416	800	1119
417	802	1117
418	804	1115
419	805	1112
420	807	1110
421	809	1108
422	810	1105
423	812	1103
424	814	1101
425	815	1099
426	817	1096
427	818	1094
428	820	1092
429	822	1089
430	823	1087
431	825	1085
432	827	1083
433	828	1080
434	830	1078
435	832	1076
436	833	1074
437	835	1071
438	837	1069
439	838	1067
440	840	1065
441	842	1064
442	844	1062
443	846	1060
444	848	1058
445	850	1056
446	852	1054
447	854	1052
448	856	1050
449	858	1048
450	859	1046
451	861	1044
452	863	1042
453	864	1040
454	866	1037
455	868	1036
456	870	1033
457	871	1031
458	873	1029
459	875	1028
460	877	1026
461	879	1024
462	881	1022
463	883	1020
464	885	1018
465	887	1016
466	889	1014
467	890	1012
468	892	1010
469	894	1008
470	896	1006
471	898	1004
472	900	1002
473	902	1001
474	904	999
475	905	997
476	910	997
477	913	997
478	916	996
479	918	995
480	920	993
481	922	991
482	924	989
483	926	987
484	928	985
485	930	983
486	932	981
487	933	979
488	935	977
489	937	975
490	939	973
491	940	971
492	942	969
493	944	967
494	946	965
495	948	963
496	950	961
497	951	959
498	953	957
499	955	955
500	957	953
501	959	951
502	961	949
503	962	947
504	964	945
505	966	943
506	968	941
507	969	939
508	971	937
509	973	935
510	975	933
511	976	931
512	978	929
513	980	927
514	982	925
515	984	923
516	985	920
517	987	918
518	989	916
519	990	914
520	992	912
521	994	910
522	996	908
523	997	906
524	999	904
525	1001	902
526	1002	900
527	1004	898
528	1006	896
529	1008	894
530	1009	891
531	1012	890
532	1013	888
533	1015	886
534	1017	883
535	1018	881
536	1021	880
537	1023	878
538	1024	876
539	1026	874
540	1028	872
541	1030	870
542	1032	868
543	1033	866
544	1035	864
545	1037	862
546	1039	860
547	1040	858
548	1042	856
549	1044	854
550	1046	852
551	1047	850
552	1049	848
553	1051	846
554	1052	844
555	1054	842
556	1056	840
557	1058	838
558	1060	836
559	1062	834
560	1063	832
561	1065	830
562	1067	828
563	1069	826
564	1071	824
565	1072	822
566	1074	820
567	1076	818
568	1078	816
569	1079	814
570	1081	812
571	1083	810
572	1084	808
573	1086	806
574	1088	804
575	1090	802
576	1092	800
577	1093	798
578	1095	796
579	1097	794
580	1099	792
581	1100	790
582	1102	788
583	1104	787
584	1106	785
585	1108	783
586	1110	781
587	1112	779
588	1113	777
589	1115	775
590	1117	773
591	1119	771
592	1121	769
593	1122	767
594	1124	765
595	1126	763
596	1128	761
597	1130	760
598	1132	758
599	1134	756
600	1135	754
601	1137	752
602	1139	750
603	1141	748
604	1143	746
605	1145	744
606	1147	742
607	1148	740
608	1150	738
609	1155	738
610	1157	736
611	1159	735
612	1162	733
613	1164	731
614	1166	729
615	1167	728
616	1169	726
617	1172	724
618	1173	722
619	1175	720
620	1178	719
621	1180	717
622	1181	715
623	1183	713
624	1185	711
625	1187	709
626	1189	707
627	1191	705
628	1193	703
629	1195	702
630	1197	700
631	1199	698
632	1200	696
633	1202	694
634	1204	692
635	1206	690
636	1208	688
637	1210	686
638	1211	684
639	1213	682
640	1215	680
641	1217	678
642	1219	677
643	1221	675
644	1223	673
645	1225	671
646	1227	669
647	1229	667
648	1230	665
649	1233	664
650	1235	662
651	1236	660
652	1239	658
653	1240	656
654	1242	654
655	1244	652
656	1248	652
657	1252	651
658	1254	649
659	1256	647
660	1258	645
661	1261	644
662	1263	642
663	1265	640
664	1267	638
665	1269	636
666	1271	634
667	1273	633
668	1275	631
669	1277	629
670	1279	627
671	1281	625
672	1283	623
673	1285	621
674	1287	619
675	1289	618
676	1291	616
677	1293	614
678	1295	612
679	1297	610
680	1298	608
681	1303	607
682	1305	605
683	1308	604
684	1310	602
685	1312	600
686	1314	598
687	1316	596
688	1317	594
689	1319	592
690	1321	591
691	1323	589
692	1325	587
693	1327	585
694	1329	583
695	1330	581
696	1332	579
697	1334	577
698	1336	575
699	1338	573
700	1339	571
701	1341	569
702	1343	567
703	1345	565
704	1347	563
705	1349	561
706	1351	559
707	1352	557
708	1355	556
709	1356	554
710	1358	552
711	1360	550
712	1362	548
713	1364	546
714	1366	544
715	1368	542
716	1369	540
717	1371	538
718	1373	536
719	1375	534
720	1377	532
721	1379	530
722	1380	529
723	1383	527
724	1384	525
725	1386	523
726	1388	521
727	1390	519
728	1392	517
729	1395	516
730	1398	514
731	1400	512
732	1402	510
733	1404	509
