iter	Logloss	Accuracy
0	0.6540234198	0.7389991372
1	0.6241443687	0.775812482
2	0.5964845953	0.7707794075
3	0.570489403	0.7837215991
4	0.5533300249	0.7865976416
5	0.5352298768	0.7854472246
6	0.5230215365	0.7860224331
7	0.5139242621	0.7874604544
8	0.5048342608	0.785878631
9	0.4945738887	0.7874604544
10	0.486633879	0.7897612885
11	0.480437762	0.7911993097
12	0.4749659095	0.7922059246
13	0.4692375474	0.7950819672
14	0.4632076929	0.7979580098
15	0.4587239435	0.7968075928
16	0.4556384812	0.7973828013
17	0.4519403771	0.7969513949
18	0.4491582556	0.7986770204
19	0.4460272929	0.7995398332
20	0.4434953624	0.8001150417
21	0.4400914345	0.8006902502
22	0.436729221	0.8008340523
23	0.4339837192	0.8011216566
24	0.4314974513	0.8018406672
25	0.4282390886	0.80270348
26	0.4260649713	0.8025596779
27	0.4242925898	0.8037100949
28	0.4227683398	0.8039976992
29	0.4198134897	0.8045729077
30	0.4183879894	0.8042853034
31	0.4155639186	0.8050043141
32	0.4137023445	0.8062985332
33	0.4123022898	0.8061547311
34	0.4110942027	0.807161346
35	0.4087686666	0.8074489502
36	0.4079224949	0.8084555651
37	0.4067723419	0.8088869715
38	0.4058166289	0.8093183779
39	0.405041723	0.8084555651
40	0.4038580035	0.8090307737
41	0.4030276951	0.8090307737
42	0.4020922873	0.80946218
43	0.4005992996	0.80946218
44	0.399497888	0.8098935864
45	0.3989989354	0.8098935864
46	0.3976440955	0.8098935864
47	0.3968903755	0.8106125971
48	0.3954732424	0.8107563992
49	0.3948242169	0.8119068162
50	0.3941666733	0.8119068162
51	0.3931718019	0.8130572332
52	0.3919638883	0.8133448375
53	0.3910097809	0.8136324418
54	0.3897221472	0.8153580673
55	0.3889396524	0.8160770779
56	0.3874171777	0.8157894737
57	0.3869789279	0.8159332758
58	0.3861932221	0.8152142652
59	0.3855115483	0.8153580673
60	0.3850501649	0.8160770779
61	0.3843654164	0.817227495
62	0.3826199399	0.8166522865
63	0.3819525744	0.8176589014
64	0.381112281	0.8175150992
65	0.3795136043	0.8196721311
66	0.3779942719	0.8196721311
67	0.3774964102	0.8199597354
68	0.3768447179	0.8199597354
69	0.376093686	0.8205349439
70	0.3752534076	0.8198159333
71	0.374716394	0.8198159333
72	0.3740420762	0.8202473397
73	0.373258928	0.8199597354
74	0.3726194265	0.8196721311
75	0.3718300841	0.8215415588
76	0.3714503154	0.8215415588
77	0.3705391001	0.8216853609
78	0.3695874829	0.8235547886
79	0.3689468162	0.8236985907
80	0.3684176035	0.8238423929
81	0.3679850861	0.8234109865
82	0.367631857	0.8232671844
83	0.3672486864	0.8232671844
84	0.3666530456	0.8249928099
85	0.3661200477	0.8255680184
86	0.3652557128	0.825136612
87	0.3646206087	0.8259994248
88	0.3639457368	0.825136612
89	0.3633898373	0.8271498418
90	0.3630878327	0.8272936439
91	0.3627457969	0.8275812482
92	0.3619878284	0.8283002588
93	0.361364027	0.8287316652
94	0.3609228306	0.8311763014
95	0.3605747368	0.8316077078
96	0.360136317	0.8316077078
97	0.3596829936	0.8311763014
98	0.3591342759	0.8314639057
99	0.3587813042	0.8317515099
100	0.3576703771	0.8313201035
101	0.3568964671	0.8329019269
102	0.3565454174	0.8339085418
103	0.3559565008	0.834052344
104	0.3552634559	0.8349151567
105	0.3545662811	0.8350589589
106	0.3540780487	0.8346275525
107	0.3537098342	0.8343399482
108	0.35317653	0.8341961461
109	0.3523846968	0.835202761
110	0.3511114264	0.8362093759
111	0.3505761625	0.8360655738
112	0.3501168478	0.836353178
113	0.3496521917	0.836353178
114	0.3489197631	0.8375035951
115	0.3485822749	0.8369283865
116	0.3478371438	0.8369283865
117	0.3474223655	0.8369283865
118	0.3463841104	0.8383664078
119	0.3457705163	0.8386540121
120	0.3449499352	0.8382226057
121	0.3445708016	0.8393730227
122	0.3440640472	0.8390854185
123	0.3437095123	0.8395168248
124	0.3431415118	0.8393730227
125	0.3426265607	0.8406672419
126	0.3419668117	0.8415300546
127	0.3413007347	0.8415300546
128	0.3408157204	0.8418176589
129	0.3403949663	0.8423928674
130	0.3398370735	0.8438308887
131	0.3393796939	0.8449813057
132	0.3389945426	0.8468507334
133	0.3384844218	0.8458441185
134	0.3375391226	0.8461317227
135	0.3370855159	0.8462755249
136	0.3367211578	0.8465631291
137	0.3365416892	0.846419327
138	0.3358727881	0.847569744
139	0.3353943186	0.8481449525
140	0.3347145699	0.8488639632
141	0.3342964364	0.8484325568
142	0.3339934832	0.8488639632
143	0.3335035224	0.8485763589
144	0.3328853056	0.849726776
145	0.3323196239	0.849726776
146	0.3319367839	0.8504457866
147	0.3316737165	0.8510209951
148	0.3313796263	0.8511647972
149	0.3308729836	0.8510209951
