iter	Passed	Remaining
0	1	296
1	3	269
2	5	259
3	7	259
4	8	256
5	10	252
6	12	249
7	13	247
8	15	244
9	17	242
10	19	240
11	20	238
12	22	237
13	24	235
14	25	233
15	27	233
16	29	231
17	31	229
18	33	228
19	34	226
20	36	225
21	38	223
22	40	221
23	41	220
24	43	217
25	45	215
26	47	215
27	49	214
28	51	213
29	53	213
30	55	212
31	57	212
32	59	211
33	61	211
34	63	209
35	65	207
36	67	205
37	69	204
38	70	201
39	72	199
40	74	198
41	76	196
42	78	194
43	79	192
44	81	191
45	83	189
46	85	187
47	87	185
48	89	183
49	90	181
50	92	179
51	94	178
52	96	176
53	98	174
54	99	172
55	101	170
56	103	168
57	104	166
58	106	164
59	108	162
60	109	160
61	111	158
62	113	156
63	114	154
64	116	152
65	118	150
66	120	148
67	121	146
68	123	144
69	125	143
70	126	141
71	128	139
72	130	137
73	132	135
74	134	134
75	135	132
76	137	130
77	139	128
78	141	126
79	143	125
80	145	123
81	148	122
82	149	121
83	152	119
84	153	117
85	156	116
86	157	114
87	159	112
88	161	110
89	163	109
90	165	107
91	166	105
92	168	103
93	170	101
94	171	99
95	173	97
96	175	95
97	177	94
98	179	92
99	180	90
100	182	88
101	184	86
102	185	84
103	187	82
104	189	81
105	191	79
106	193	77
107	194	75
108	196	73
109	198	72
110	199	70
111	201	68
112	203	66
113	205	64
114	206	62
115	208	61
116	210	59
117	212	57
118	213	55
119	215	53
120	217	52
121	219	50
122	220	48
123	222	46
124	224	44
125	226	43
126	228	41
127	230	39
128	232	37
129	234	36
130	236	34
131	238	32
132	240	30
133	241	28
134	243	27
135	245	25
136	247	23
137	248	21
138	250	19
139	252	18
140	254	16
141	256	14
142	258	12
143	259	10
144	261	9
145	263	7
146	265	5
147	267	3
148	268	1
149	270	0
