iter	Passed	Remaining
0	46	46059
1	46	23121
2	46	15469
3	46	11639
4	46	9339
5	47	7802
6	47	6708
7	47	5887
8	47	5246
9	47	4734
10	47	4314
11	48	3965
12	48	3671
13	48	3420
14	48	3201
15	48	3011
16	49	2844
17	49	2693
18	49	2558
19	49	2436
20	49	2326
21	50	2225
22	50	2134
23	50	2050
24	50	1973
25	50	1901
26	50	1835
27	51	1774
28	51	1717
29	51	1664
30	51	1614
31	51	1567
32	52	1524
33	52	1482
34	52	1443
35	52	1407
36	52	1372
37	52	1339
38	53	1307
39	53	1278
40	53	1249
41	53	1222
42	53	1197
43	53	1172
44	54	1148
45	54	1126
46	54	1104
47	54	1084
48	54	1064
49	55	1045
50	55	1026
51	55	1009
52	55	992
53	55	975
54	55	960
55	56	945
56	56	930
57	56	916
58	56	902
59	56	889
60	56	876
61	57	864
62	57	852
63	57	840
64	57	829
65	57	818
66	58	808
67	58	797
68	58	787
69	58	778
70	58	768
71	58	759
72	59	750
73	59	741
74	59	733
75	59	724
76	59	716
77	59	709
78	60	701
79	60	693
80	60	686
81	60	679
82	60	672
83	61	665
84	61	658
85	61	652
86	61	646
87	61	639
88	61	633
89	62	627
90	62	621
91	62	616
92	62	610
93	62	605
94	62	599
95	63	594
96	63	589
97	63	584
98	63	579
99	63	574
100	64	570
101	64	565
102	64	560
103	64	556
104	64	552
105	64	547
106	65	543
107	65	539
108	65	535
109	65	531
110	65	527
111	66	523
112	66	519
113	66	515
114	66	512
115	66	508
116	66	504
117	67	501
118	67	497
119	67	494
120	67	491
121	67	487
122	67	484
123	68	481
124	68	478
125	68	475
126	68	471
127	68	468
128	69	466
129	69	463
130	69	460
131	69	457
132	69	454
133	69	451
134	70	449
135	70	446
136	70	443
137	70	441
138	70	438
139	70	436
140	71	433
141	71	431
142	71	428
143	71	426
144	71	423
145	72	421
146	72	419
147	72	416
148	72	414
149	72	412
150	72	410
151	73	407
152	73	405
153	73	403
154	73	401
155	73	399
156	74	397
157	74	395
158	74	393
159	74	391
160	74	389
161	74	387
162	75	385
163	75	383
164	75	381
165	75	379
166	75	377
167	75	376
168	76	374
169	76	372
170	76	370
171	76	369
172	76	367
173	77	365
174	77	363
175	77	362
176	77	360
177	77	358
178	77	357
179	78	355
180	78	354
181	78	352
182	78	350
183	78	349
184	78	347
185	79	346
186	79	344
187	79	343
188	79	341
189	79	340
190	80	338
191	80	337
192	80	336
193	80	334
194	80	333
195	80	331
196	81	330
197	81	329
198	81	327
199	81	326
200	81	325
201	81	323
202	82	322
203	82	321
204	82	319
205	82	318
206	82	317
207	83	316
208	83	314
209	83	313
210	83	312
211	83	311
212	83	310
213	84	308
214	84	307
215	84	306
216	84	305
217	84	304
218	84	302
219	85	301
220	85	300
221	85	299
222	85	298
223	85	297
224	86	296
225	86	295
226	86	294
227	86	293
228	86	292
229	86	290
230	87	289
231	87	288
232	87	287
233	87	286
234	87	285
235	87	284
236	88	283
237	88	282
238	88	281
239	88	280
240	88	279
241	89	278
242	89	277
243	89	276
244	89	275
245	89	275
246	89	274
247	90	273
248	90	272
249	90	271
250	90	270
251	90	269
252	90	268
253	91	267
254	91	266
255	91	265
256	91	265
257	91	264
258	92	263
259	92	262
260	92	261
261	92	260
262	92	260
263	92	259
264	93	258
265	93	257
266	93	256
267	93	255
268	93	255
269	94	254
270	94	253
271	94	252
272	94	251
273	94	251
274	94	250
275	95	249
276	95	248
277	95	247
278	95	247
279	95	246
280	95	245
281	96	244
282	96	244
283	96	243
284	96	242
285	96	241
286	97	241
287	97	240
288	97	239
289	97	238
290	97	238
291	97	237
292	98	236
293	98	236
294	98	235
295	98	234
296	98	233
297	98	233
298	99	232
299	99	231
300	99	231
301	99	230
302	99	229
303	100	229
304	100	228
305	100	227
306	100	227
307	100	226
308	100	225
309	101	225
310	101	224
311	101	223
312	101	223
313	101	222
314	101	221
315	102	221
316	102	220
317	102	219
318	102	219
319	102	218
320	103	217
321	103	217
322	103	216
323	103	216
324	103	215
325	103	214
326	104	214
327	104	213
328	104	213
329	104	212
330	104	211
331	104	211
332	105	210
333	105	210
334	105	209
335	105	208
336	105	208
337	106	207
338	106	207
339	106	206
340	106	205
341	106	205
342	106	204
343	107	204
344	107	203
345	107	203
346	107	202
347	107	201
348	107	201
349	108	200
350	108	200
351	108	199
352	108	199
353	108	198
354	109	198
355	109	197
356	109	197
357	109	196
358	109	195
359	109	195
360	110	194
361	110	194
362	110	193
363	110	193
364	110	192
365	110	192
366	111	191
367	111	191
368	111	190
369	111	190
370	111	189
371	112	189
372	112	188
373	112	188
374	112	187
375	112	187
376	112	186
377	113	186
378	113	185
379	113	185
380	113	184
381	113	184
382	114	183
383	114	183
384	114	182
385	114	182
386	114	181
387	114	181
388	115	180
389	115	180
390	115	179
391	115	179
392	115	178
393	115	178
394	116	177
395	116	177
396	116	176
397	116	176
398	116	175
399	117	175
400	117	175
401	117	174
402	117	174
403	117	173
404	117	173
405	118	172
406	118	172
407	118	171
408	118	171
409	118	170
410	118	170
411	119	170
412	119	169
413	119	169
414	119	168
415	119	168
416	120	167
417	120	167
418	120	166
419	120	166
420	120	166
421	120	165
422	121	165
423	121	164
424	121	164
425	121	163
426	121	163
427	121	162
428	122	162
429	122	162
430	122	161
431	122	161
432	122	160
433	123	160
434	123	160
435	123	159
436	123	159
437	123	158
438	123	158
439	124	157
440	124	157
441	124	157
442	124	156
443	124	156
444	124	155
445	125	155
446	125	155
447	125	154
448	125	154
449	125	153
450	126	153
451	126	152
452	126	152
453	126	152
454	126	151
455	126	151
456	127	150
457	127	150
458	127	150
459	127	149
460	127	149
461	127	149
462	128	148
463	128	148
464	128	147
465	128	147
466	128	147
467	129	146
468	129	146
469	129	145
470	129	145
471	129	145
472	129	144
473	130	144
474	130	143
475	130	143
476	130	143
477	130	142
478	130	142
479	131	142
480	131	141
481	131	141
482	131	140
483	131	140
484	132	140
485	132	139
486	132	139
487	132	139
488	132	138
489	132	138
490	133	137
491	133	137
492	133	137
493	133	136
494	133	136
495	134	136
496	134	135
497	134	135
498	134	135
499	134	134
500	134	134
501	135	134
502	135	133
503	135	133
504	135	132
505	135	132
506	136	132
507	136	131
508	136	131
509	136	131
510	136	130
511	136	130
512	137	130
513	137	129
514	137	129
515	137	129
516	137	128
517	138	128
518	138	128
519	138	127
520	138	127
521	138	127
522	138	126
523	139	126
524	139	126
525	139	125
526	139	125
527	139	124
528	139	124
529	140	124
530	140	123
531	140	123
532	140	123
533	140	122
534	141	122
535	141	122
536	141	121
537	141	121
538	141	121
539	141	120
540	142	120
541	142	120
542	142	119
543	142	119
544	142	119
545	142	118
546	143	118
547	143	118
548	143	117
549	143	117
550	143	117
551	144	116
552	144	116
553	144	116
554	144	115
555	144	115
556	144	115
557	145	114
558	145	114
559	145	114
560	145	113
561	145	113
562	145	113
563	146	112
564	146	112
565	146	112
566	146	112
567	146	111
568	147	111
569	147	111
570	147	110
571	147	110
572	147	110
573	147	109
574	148	109
575	148	109
576	148	108
577	148	108
578	148	108
579	148	107
580	149	107
581	149	107
582	149	106
583	149	106
584	149	106
585	150	106
586	150	105
587	150	105
588	150	105
589	150	104
590	150	104
591	151	104
592	151	103
593	151	103
594	151	103
595	151	102
596	152	102
597	152	102
598	152	101
599	152	101
600	152	101
601	152	101
602	153	100
603	153	100
604	153	100
605	153	99
606	153	99
607	153	99
608	154	98
609	154	98
610	154	98
611	154	98
612	154	97
613	155	97
614	155	97
615	155	96
616	155	96
617	155	96
618	155	95
619	156	95
620	156	95
621	156	95
622	156	94
623	156	94
624	156	94
625	157	93
626	157	93
627	157	93
628	157	93
629	157	92
630	158	92
631	158	92
632	158	91
633	158	91
634	158	91
635	158	90
636	159	90
637	159	90
638	159	90
639	159	89
640	159	89
641	160	89
642	160	88
643	160	88
644	160	88
645	160	88
646	160	87
647	161	87
648	161	87
649	161	86
650	161	86
651	161	86
652	161	86
653	162	85
654	162	85
655	162	85
656	162	84
657	162	84
658	163	84
659	163	84
660	163	83
661	163	83
662	163	83
663	163	82
664	164	82
665	164	82
666	164	82
667	164	81
668	164	81
669	164	81
670	165	80
671	165	80
672	165	80
673	165	80
674	165	79
675	165	79
676	166	79
677	166	79
678	166	78
679	166	78
680	166	78
681	167	77
682	167	77
683	167	77
684	167	77
685	167	76
686	167	76
687	168	76
688	168	75
689	168	75
690	168	75
691	168	75
692	169	74
693	169	74
694	169	74
695	169	74
696	169	73
697	169	73
698	170	73
699	170	72
700	170	72
701	170	72
702	170	72
703	170	71
704	171	71
705	171	71
706	171	71
707	171	70
708	171	70
709	172	70
710	172	69
711	172	69
712	172	69
713	172	69
714	172	68
715	173	68
716	173	68
717	173	68
718	173	67
719	173	67
720	173	67
721	174	67
722	174	66
723	174	66
724	174	66
725	174	66
726	175	65
727	175	65
728	175	65
729	175	64
730	175	64
731	175	64
732	176	64
733	176	63
734	176	63
735	176	63
736	176	63
737	177	62
738	177	62
739	177	62
740	177	62
741	177	61
742	177	61
743	178	61
744	178	61
745	178	60
746	178	60
747	178	60
748	178	59
749	179	59
750	179	59
751	179	59
752	179	58
753	179	58
754	180	58
755	180	58
756	180	57
757	180	57
758	180	57
759	180	57
760	181	56
761	181	56
762	181	56
763	181	56
764	181	55
765	181	55
766	182	55
767	182	55
768	182	54
769	182	54
770	182	54
771	182	54
772	183	53
773	183	53
774	183	53
775	183	53
776	183	52
777	184	52
778	184	52
779	184	52
780	184	51
781	184	51
782	184	51
783	185	50
784	185	50
785	185	50
786	185	50
787	185	49
788	185	49
789	186	49
790	186	49
791	186	48
792	186	48
793	186	48
794	187	48
795	187	47
796	187	47
797	187	47
798	187	47
799	187	46
800	188	46
801	188	46
802	188	46
803	188	45
804	188	45
805	189	45
806	189	45
807	189	44
808	189	44
809	189	44
810	189	44
811	190	44
812	190	43
813	190	43
814	190	43
815	190	43
816	191	42
817	191	42
818	191	42
819	191	42
820	191	41
821	191	41
822	192	41
823	192	41
824	192	40
825	192	40
826	192	40
827	192	40
828	193	39
829	193	39
830	193	39
831	193	39
832	193	38
833	194	38
834	194	38
835	194	38
836	194	37
837	194	37
838	194	37
839	195	37
840	195	36
841	195	36
842	195	36
843	195	36
844	196	35
845	196	35
846	196	35
847	196	35
848	196	34
849	196	34
850	197	34
851	197	34
852	197	34
853	197	33
854	197	33
855	197	33
856	198	33
857	198	32
858	198	32
859	198	32
860	198	32
861	199	31
862	199	31
863	199	31
864	199	31
865	199	30
866	199	30
867	200	30
868	200	30
869	200	29
870	200	29
871	200	29
872	201	29
873	201	29
874	201	28
875	201	28
876	201	28
877	201	28
878	202	27
879	202	27
880	202	27
881	202	27
882	202	26
883	202	26
884	203	26
885	203	26
886	203	25
887	203	25
888	203	25
889	204	25
890	204	24
891	204	24
892	204	24
893	204	24
894	204	24
895	205	23
896	205	23
897	205	23
898	205	23
899	205	22
900	205	22
901	206	22
902	206	22
903	206	21
904	206	21
905	206	21
906	207	21
907	207	20
908	207	20
909	207	20
910	207	20
911	207	20
912	208	19
913	208	19
914	208	19
915	208	19
916	208	18
917	209	18
918	209	18
919	209	18
920	209	17
921	209	17
922	209	17
923	210	17
924	210	17
925	210	16
926	210	16
927	210	16
928	210	16
929	211	15
930	211	15
931	211	15
932	211	15
933	211	14
934	212	14
935	212	14
936	212	14
937	212	14
938	212	13
939	212	13
940	213	13
941	213	13
942	213	12
943	213	12
944	213	12
945	213	12
946	214	11
947	214	11
948	214	11
949	214	11
950	214	11
951	215	10
952	215	10
953	215	10
954	215	10
955	215	9
956	215	9
957	216	9
958	216	9
959	216	9
960	216	8
961	216	8
962	216	8
963	217	8
964	217	7
965	217	7
966	217	7
967	217	7
968	218	6
969	218	6
970	218	6
971	218	6
972	218	6
973	218	5
974	219	5
975	219	5
976	219	5
977	219	4
978	219	4
979	219	4
980	220	4
981	220	4
982	220	3
983	220	3
984	220	3
985	221	3
986	221	2
987	221	2
988	221	2
989	221	2
990	222	2
991	222	1
992	222	1
993	222	1
994	222	1
995	222	0
996	223	0
997	223	0
998	223	0
999	223	0
